ID Kelas,Kode MK,Mata Kuliah,SKS,Kelas,Dosen,Hari,Jam Mulai,Jam Selesai,Ruangan,Prioritas Dosen
135,CIF65115,Pemrograman Aplikasi Perangkat Bergerak,3,F,Komang Candra Brata,kamis,16:00:00,17:40:00,F3.11,1
39,CIF63309,Metode Numerik,3,C,Agung Setia Budi,kamis,16:00:00,17:40:00,F3.14,1
130,CIF65318,Jaringan Saraf Tiruan,3,G,Wayan Firdaus Mahmudy,kamis,16:00:00,17:40:00,F3.16,1
1,CIF65116,Komputer Grafis,2,C,Herman Tolle,kamis,16:00:00,17:40:00,F3.2,1
145,CIF61101,Rekayasa Perangkat Lunak (Sesi 2),2,G,Nur Hazbiy Shaffan,kamis,16:00:00,17:40:00,F3.5,1
23,CIF65318,Jaringan Saraf Tiruan,3,A,Fitra Abdurrachman Bachtiar,kamis,16:00:00,17:40:00,F4.5,1
166,CIF65318,Jaringan Saraf Tiruan,3,D,Budi Darma Setiawan,jumat,07:00:00,09:30:00,F2.9,1
136,COM60051,Metodologi Penelitian & Penulisan Ilmiah,3,F,Widhi Yahya,jumat,07:00:00,09:30:00,F3.7,1
134,CIF63207,Jaringan Komputer (Sesi 2),2,F,Sabriansyah Rizqika Akbar,jumat,07:00:00,09:30:00,F3.9,1
149,CIF61101,Rekayasa Perangkat Lunak (Sesi 1),2,B,Bayu Priyambadha,jumat,07:00:00,09:30:00,F4.4,1
41,CIF65116,Komputer Grafis,2,F,Herman Tolle,jumat,07:00:00,09:30:00,F4.5,1
89,CIF65217,Jaringan Nirkabel,3,D,Dany Primanita Kartikasari,jumat,08:45:00,11:15:00,F3.10,1
95,CIF63309,Metode Numerik,3,E,Muh. Arif Rahman,jumat,08:45:00,10:25:00,F4.8,1
12,COM60014,Pemrograman Dasar (Sesi 2),2,B,Budi Darma Setiawan,jumat,09:35:00,11:20:00,F2.1,1
67,CIF63110,Kecerdasan Artifisial,2,D,Rizal Setya Perdana,jumat,09:35:00,11:20:00,F2.6,1
31,CIF61302,Statistika dan Teori Peluang,2,B,Ratih Kartika Dewi,jumat,09:35:00,12:05:00,F2.8,1
152,CIF65217,Jaringan Nirkabel,3,E,Achmad Basuki,jumat,09:35:00,12:05:00,F2.9,2
83,CIF65115,Pemrograman Aplikasi Perangkat Bergerak,3,E,Komang Candra Brata,jumat,09:35:00,11:20:00,F3.16,1
122,CIF65217,Jaringan Nirkabel,3,B,Primantara Hari Trisnawan,jumat,09:35:00,12:05:00,F4.1,1
82,COM60051,Metodologi Penelitian & Penulisan Ilmiah,3,B,Fitra Abdurrachman Bachtiar,jumat,09:35:00,12:05:00,F4.11,1
55,CIF61302,Statistika dan Teori Peluang,2,E,Wijaya Kurniawan,jumat,09:35:00,12:05:00,F4.3,1
11,COM60014,Pemrograman Dasar (Sesi 1),3,B,Randy Cahya Wihandika,jumat,09:35:00,11:20:00,F4.6,1
118,CIF65116,Komputer Grafis,2,D,Herman Tolle,jumat,10:30:00,12:10:00,F3.12,1
73,CIF63106,Analisis dan Perancangan Sistem (Sesi 2),2,D,Komang Candra Brata,jumat,12:30:00,14:10:00,F3.1,1
29,CIF61235,Forensik Digital,3,A,Eko Sakti Pramukantoro,jumat,12:30:00,15:00:00,F3.13,1
163,CIF61126,Realitas terkembang,3,A,Adam Hendra Brata,jumat,12:30:00,15:00:00,F3.2,1
25,CIF63106,Analisis dan Perancangan Sistem (Sesi 2),2,F,Denny Sagita Rusdianto,jumat,12:30:00,15:00:00,F3.3,1
165,COM60011,Arsitektur dan Organisasi Komputer,2,D,Barlian Henryranu Prasetio,jumat,12:30:00,15:00:00,F3.5,1
40,CIF65217,Jaringan Nirkabel,3,F,Widhi Yahya,jumat,12:30:00,14:10:00,F4.10,1
126,CIF63110,Kecerdasan Artifisial,2,C,Rizal Setya Perdana,jumat,12:30:00,14:10:00,F4.12,1
156,COM60014,Pemrograman Dasar (Sesi 1),3,C,Dany Primanita Kartikasari,jumat,12:30:00,14:10:00,F4.13,1
24,CIF63106,Analisis dan Perancangan Sistem (Sesi 1),3,F,Nurudin Santoso,jumat,14:15:00,15:55:00,F3.4,1
48,COM60011,Arsitektur dan Organisasi Komputer,2,C,Wijaya Kurniawan,jumat,14:30:00,16:10:00,F2.9,1
150,CIF61101,Rekayasa Perangkat Lunak (Sesi 2),2,B,Bayu Priyambadha,jumat,14:30:00,16:10:00,F3.1,1
148,CIF63106,Analisis dan Perancangan Sistem (Sesi 2),2,G,Komang Candra Brata,jumat,14:30:00,16:10:00,F4.13,1
168,CIF63207,Jaringan Komputer (Sesi 1),3,B,Reza Andria Siregar,jumat,15:20:00,17:50:00,F3.12,1
63,CIF61125,Pemrograman Gim (Sesi 1),2,A,Agi Putra Kharisma,jumat,15:20:00,17:50:00,F3.8,2
65,CIF63309,Metode Numerik,3,A,Agung Setia Budi,jumat,15:20:00,17:50:00,F4.10,1
161,CIF61121,Pola Perancangan,3,A,Adam Hendra Brata,jumat,15:20:00,17:50:00,F4.14,1
68,CIF61236,Keamanan Jaringan,3,A,Primantara Hari Trisnawan,jumat,16:00:00,17:40:00,F3.7,1
6,CIF65217,Jaringan Nirkabel,3,C,Eko Sakti Pramukantoro,jumat,16:00:00,17:40:00,F4.2,1
129,CIF63309,Metode Numerik,3,G,Muh. Arif Rahman,jumat,16:00:00,17:40:00,F4.8,1
